TRB,AST,STL,BLK,TOV,PF,PTS
631,171,95,57,115,148,1056
569,200,74,136,146,265,951
836,273,48,130,142,203,1541
336,153,91,58,135,131,1069
182,38,40,18,55,94,331
3,0,0,2,3,3,2
22,5,7,0,8,10,32
157,33,33,16,44,81,297
224,65,62,26,70,127,476
177,201,48,21,80,154,780
458,58,39,106,71,203,569
295,393,123,28,174,163,1393
254,118,62,12,55,159,547
238,47,21,18,46,98,396
195,171,48,16,141,178,921
164,244,71,18,151,115,1247
631,70,36,91,81,188,817
118,17,7,21,17,52,100
513,53,29,70,64,136,717
84,18,6,7,28,73,202
123,40,14,1,38,106,198
425,203,89,62,206,213,1622
171,16,11,12,32,96,129
15,2,2,1,5,7,41
360,108,53,37,99,210,998
274,89,40,21,76,142,744
86,19,13,16,23,68,254
161,74,36,13,67,143,672
147,48,36,20,60,88,400
0,1,1,0,0,0,3
989,312,63,45,223,252,1845
68,5,2,13,11,29,75
126,171,39,4,88,95,777
366,41,37,15,76,160,767
143,30,15,17,16,80,193
55,10,4,7,5,36,63
88,20,11,10,11,44,130
255,176,92,24,106,207,998
332,101,39,10,106,202,765
169,503,70,7,207,163,1079
129,411,57,5,158,130,811
40,92,13,2,49,33,268
140,85,31,7,63,65,321
5,1,0,1,1,2,8
106,6,7,3,14,39,104
465,121,29,71,97,201,584
599,202,79,49,86,200,582
139,81,30,19,70,106,388
70,28,12,7,19,44,160
376,19,16,74,51,146,320
60,70,10,9,32,43,200
207,101,50,32,64,118,653
37,18,11,3,13,48,165
610,166,33,142,185,256,1025
695,91,48,54,173,215,1105
571,149,84,73,134,238,1091
199,193,66,21,99,153,884
338,200,64,35,134,184,1056
306,29,14,52,62,157,406
182,288,75,17,121,185,737
129,210,56,10,84,119,531
53,78,19,7,37,66,206
332,531,120,29,218,203,1145
186,26,22,42,67,199,373
718,266,59,80,119,193,1178
92,62,32,3,29,68,362
1098,107,107,186,279,258,1784
74,24,13,5,20,34,152
122,23,10,4,25,61,139
5,17,4,1,7,10,18
771,84,33,80,103,168,741
622,22,31,198,71,267,808
387,422,101,38,138,109,945
287,26,23,58,52,185,360
86,6,6,27,21,52,59
365,56,51,24,63,159,571
16,7,6,1,5,17,41
173,242,54,6,110,102,735
42,59,14,0,34,25,140
131,183,40,6,76,77,595
94,14,12,3,23,61,187
304,241,80,28,209,161,1240
85,20,16,12,25,36,110
590,554,124,50,284,163,2111
375,93,50,30,77,137,1010
67,20,17,0,14,32,93
2,1,0,0,1,1,2
65,19,17,0,13,31,91
794,149,46,153,105,238,1528
310,107,38,34,93,164,891
116,36,31,17,21,75,74
35,11,7,3,4,21,27
81,25,24,14,17,54,47
234,305,95,21,146,131,1019
70,162,29,2,51,54,255
248,25,27,32,51,115,355
461,81,53,88,69,263,688
36,45,5,1,38,31,110
32,3,3,9,10,21,33
27,2,3,6,8,18,27
5,1,0,3,2,3,6
142,89,33,37,64,95,271
24,14,8,9,18,25,42
118,75,25,28,46,70,229
291,338,47,7,146,131,1312
7,11,1,1,5,12,34
7,11,1,1,5,11,28
0,0,0,0,0,1,6
240,148,58,54,95,163,709
65,33,20,7,31,70,283
25,19,5,3,10,7,42
160,43,29,19,21,129,475
113,30,12,22,35,94,139
575,42,41,142,101,255,566
225,46,16,48,58,75,397
11,4,2,1,2,4,16
351,655,134,29,179,119,630
327,192,81,74,117,113,750
177,40,19,7,65,99,436
150,124,35,20,60,156,681
130,7,10,25,31,59,160
97,7,8,20,25,50,106
33,0,2,5,6,9,54
335,27,26,25,56,184,575
207,19,18,17,33,107,357
128,8,8,8,23,77,218
347,63,40,32,109,196,903
253,50,30,20,82,125,631
94,13,10,12,27,71,272
63,84,32,0,43,61,215
11,14,4,0,10,10,12
52,70,28,0,33,51,203
0,0,0,0,0,1,0
209,377,80,4,137,133,933
209,100,58,18,68,102,672
714,233,74,31,170,211,1203
290,92,52,30,87,159,668
106,29,22,10,35,63,304
184,63,30,20,52,96,364
34,42,33,9,18,31,76
149,164,47,29,88,109,479
488,129,47,120,176,240,1673
216,8,18,45,48,143,432
1112,184,45,28,155,148,1476
309,500,102,23,158,207,1011
0,1,0,0,0,0,2
241,84,21,5,127,175,805
61,3,4,2,5,26,35
120,8,14,15,25,105,173
551,110,68,50,130,144,999
40,4,3,5,11,44,45
74,18,18,6,16,52,209
297,109,43,35,59,136,414
258,198,80,15,184,155,1876
43,20,6,2,6,25,75
258,164,102,9,138,195,1300
173,17,24,21,44,92,237
121,238,35,6,77,96,348
170,145,73,26,99,127,803
420,68,72,28,77,180,529
395,84,36,39,72,163,390
634,38,41,193,102,232,798
251,252,66,34,102,101,574
199,43,10,33,25,94,174
382,150,47,57,93,165,533
171,78,63,4,60,97,774
11,2,0,0,2,11,2
255,135,74,38,93,221,1000
360,104,54,140,151,229,606
302,566,114,12,197,171,1029
222,145,28,21,54,98,382
184,51,20,2,41,88,228
51,109,27,1,62,63,353
